AWP | BOOM (Minimal Wear)
AWP | Safari Mesh (Well-Worn)
Desert Eagle | Conspiracy (Minimal Wear)
Glock-18 | Wraiths (Minimal Wear)
StatTrak™ Tec-9 | Re-Entry (Field-Tested)
USP-S | Guardian (Minimal Wear)
AK-47 | Vulcan (Field-Tested)
P250 | Supernova (Field-Tested)
AWP | Phobos (Minimal Wear)
P90 | Elite Build (Battle-Scarred)
USP-S | Stainless (Minimal Wear)
StatTrak™ SSG 08 | Slashed (Field-Tested)
StatTrak™ MP9 | Bioleak (Minimal Wear)
FAMAS | Styx (Field-Tested)
USP-S | Night Ops (Factory New)
StatTrak™ AK-47 | Redline (Field-Tested)
AWP | Phobos (Minimal Wear)
Desert Eagle | Bronze Deco (Minimal Wear)
StatTrak™ SCAR-20 | Grotto (Factory New)
M4A1-S | VariCamo (Field-Tested)
AK-47 | Redline (Field-Tested)
★ StatTrak™ Gut Knife | Freehand (Factory New)
USP-S | Royal Blue (Field-Tested)
AK-47 | Redline (Field-Tested)
AK-47 | Redline (Field-Tested)
AWP | Sun in Leo (Minimal Wear)
P250 | Supernova (Minimal Wear)
Five-SeveN | Violent Daimyo (Field-Tested)
Five-SeveN | Violent Daimyo (Field-Tested)
Five-SeveN | Violent Daimyo (Field-Tested)
StatTrak™ MP7 | Armor Core (Battle-Scarred)
AWP | Phobos (Field-Tested)
AWP | Pit Viper (Minimal Wear)
AK-47 | Safari Mesh (Field-Tested)
Desert Eagle | Naga (Well-Worn)
Desert Eagle | Conspiracy (Factory New)
AK-47 | Elite Build (Well-Worn)
AWP | Worm God (Minimal Wear)
AWP | Elite Build (Well-Worn)
M4A4 | Evil Daimyo (Factory New)
SSG 08 | Acid Fade (Factory New)
AK-47 | Emerald Pinstripe (Field-Tested)
AWP | Pit Viper (Minimal Wear)
USP-S | Royal Blue (Field-Tested)
★ M9 Bayonet | Blue Steel (Well-Worn)
AWP | Safari Mesh (Minimal Wear)
AK-47 | Aquamarine Revenge (Field-Tested)
AK-47 | Emerald Pinstripe (Well-Worn)
USP-S | Guardian (Factory New)
AWP | Pit Viper (Minimal Wear)
AWP | Sun in Leo (Field-Tested)
StatTrak™ P250 | Valence (Minimal Wear)
Souvenir G3SG1 | Desert Storm (Field-Tested)

Desert Eagle | Kumicho Dragon (Field-Tested)
Tec-9 | Ice Cap (Minimal Wear)
StatTrak™ AK-47 | Elite Build (Field-Tested)
AWP | Safari Mesh (Battle-Scarred)
Souvenir SCAR-20 | Sand Mesh (Battle-Scarred)
Cologne 2016 Train Souvenir Package
StatTrak™ AK-47 | Elite Build (Well-Worn)
AK-47 | Elite Build (Well-Worn)
M4A4 | Urban DDPAT (Battle-Scarred)
StatTrak™ MP7 | Urban Hazard (Factory New)
Souvenir MAC-10 | Palm (Battle-Scarred)
StatTrak™ Glock-18 | Steel Disruption (Minimal Wear)
USP-S | Caiman (Minimal Wear)
USP-S | Caiman (Minimal Wear)
USP-S | Torque (Field-Tested)
Desert Eagle | Crimson Web (Field-Tested)
P250 | Franklin (Factory New)
Souvenir Five-SeveN | Forest Night (Field-Tested)
Souvenir SCAR-20 | Carbon Fiber (Factory New)
Glock-18 | Catacombs (Minimal Wear)
StatTrak™ Dual Berettas | Cartel (Field-Tested)
P250 | Crimson Kimono (Field-Tested)
Tec-9 | Re-Entry (Field-Tested)
AK-47 | Predator (Minimal Wear)
Souvenir SCAR-20 | Sand Mesh (Field-Tested)
SG 553 | Tiger Moth (Field-Tested)
Souvenir SG 553 | Damascus Steel (Battle-Scarred)
Souvenir G3SG1 | Polar Camo (Field-Tested)
P2000 | Oceanic (Field-Tested)
Tec-9 | Re-Entry (Minimal Wear)

Desert Eagle | Bronze Deco (Factory New)
AK-47 | Redline (Field-Tested)
AK-47 | Redline (Field-Tested)
AK-47 | Elite Build (Field-Tested)
M4A1-S | Nitro (Field-Tested)
Souvenir Desert Eagle | Urban Rubble (Field-Tested)
USP-S | Royal Blue (Field-Tested)
P250 | Muertos (Factory New)
Souvenir UMP-45 | Urban DDPAT (Battle-Scarred)
SG 553 | Cyrex (Well-Worn)

AWP | Pit Viper (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
AK-47 | Safari Mesh (Battle-Scarred)
Desert Eagle | Naga (Well-Worn)
P250 | Muertos (Field-Tested)
AK-47 | Elite Build (Minimal Wear)
MAC-10 | Neon Rider (Field-Tested)
Souvenir Dual Berettas | Colony (Field-Tested)
USP-S | Royal Blue (Field-Tested)
USP-S | Caiman (Field-Tested)
Cologne 2016 Cobblestone Souvenir Package
Tec-9 | Bamboo Forest (Factory New)
AWP | Safari Mesh (Field-Tested)
Souvenir UMP-45 | Indigo (Field-Tested)
Galil AR | Eco (Field-Tested)
Tec-9 | Avalanche (Field-Tested)
Tec-9 | Avalanche (Field-Tested)
M4A4 | Griffin (Minimal Wear)
Tec-9 | Ice Cap (Minimal Wear)
Souvenir SCAR-20 | Storm (Field-Tested)
Five-SeveN | Violent Daimyo (Field-Tested)
Souvenir SCAR-20 | Storm (Field-Tested)
Glock-18 | Wraiths (Minimal Wear)
StatTrak™ P90 | Blind Spot (Field-Tested)
AWP | Phobos (Field-Tested)
Cologne 2016 Dust II Souvenir Package
M4A1-S | Blood Tiger (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
AK-47 | Elite Build (Well-Worn)
M4A4 | Bullet Rain (Field-Tested)
Glock-18 | Night (Field-Tested)
USP-S | Night Ops (Minimal Wear)
AK-47 | Redline (Minimal Wear)
M4A1-S | Basilisk (Field-Tested)

AWP | Safari Mesh (Field-Tested)
Souvenir P250 | Sand Dune (Well-Worn)
M4A1-S | Basilisk (Well-Worn)
USP-S | Torque (Minimal Wear)
M4A1-S | Nitro (Field-Tested)
Five-SeveN | Monkey Business (Minimal Wear)
Tec-9 | Avalanche (Factory New)
StatTrak™ AK-47 | Red Laminate (Field-Tested)
P90 | Chopper (Factory New)
StatTrak™ Glock-18 | Blue Fissure (Battle-Scarred)
Desert Eagle | Midnight Storm (Factory New)
AK-47 | Elite Build (Field-Tested)
AK-47 | Redline (Field-Tested)
AK-47 | Aquamarine Revenge (Minimal Wear)
M4A4 | Griffin (Field-Tested)
Souvenir Dual Berettas | Colony (Field-Tested)

Desert Eagle | Crimson Web (Field-Tested)
M4A1-S | Nitro (Minimal Wear)
AWP | Phobos (Minimal Wear)
P250 | Iron Clad (Field-Tested)
Souvenir Sawed-Off | Snake Camo (Field-Tested)

P90 | Elite Build (Minimal Wear)
Desert Eagle | Urban DDPAT (Minimal Wear)
StatTrak™ Glock-18 | Blue Fissure (Field-Tested)
Tec-9 | Army Mesh (Minimal Wear)
Five-SeveN | Violent Daimyo (Field-Tested)
UMP-45 | Grand Prix (Field-Tested)
StatTrak™ AK-47 | Frontside Misty (Field-Tested)
AK-47 | Redline (Field-Tested)
M4A1-S | Nitro (Factory New)
Galil AR | Stone Cold (Field-Tested)
MAG-7 | Cobalt Core (Factory New)
AK-47 | Predator (Field-Tested)
P250 | Franklin (Factory New)
USP-S | Royal Blue (Field-Tested)
Galil AR | Eco (Field-Tested)
Desert Eagle | Bronze Deco (Field-Tested)
StatTrak™ SSG 08 | Slashed (Field-Tested)
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear)
Souvenir Five-SeveN | Orange Peel (Battle-Scarred)
USP-S | Torque (Minimal Wear)
MP7 | Asterion (Factory New)
P250 | Franklin (Field-Tested)
M4A1-S | Guardian (Minimal Wear)
Desert Eagle | Bronze Deco (Factory New)
AWP | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Field-Tested)
Five-SeveN | Urban Hazard (Factory New)
Desert Eagle | Bronze Deco (Factory New)
Tec-9 | Red Quartz (Factory New)
AWP | Safari Mesh (Field-Tested)
M4A4 | Urban DDPAT (Minimal Wear)
P250 | Boreal Forest (Field-Tested)
AK-47 | Cartel (Minimal Wear)
M4A1-S | Atomic Alloy (Field-Tested)
M4A1-S | Boreal Forest (Field-Tested)
M4A1-S | VariCamo (Field-Tested)
Desert Eagle | Conspiracy (Factory New)
Five-SeveN | Triumvirate (Field-Tested)
Desert Eagle | Naga (Field-Tested)
AWP | Graphite (Minimal Wear)
P2000 | Pathfinder (Minimal Wear)
AK-47 | Redline (Field-Tested)
Tec-9 | Bamboo Forest (Factory New)
StatTrak™ P250 | Valence (Field-Tested)
AWP | Corticera (Minimal Wear)
StatTrak™ UMP-45 | Bone Pile (Factory New)
Glock-18 | Candy Apple (Minimal Wear)
SSG 08 | Acid Fade (Factory New)
P250 | Asiimov (Well-Worn)
Souvenir Nova | Polar Mesh (Field-Tested)
USP-S | Royal Blue (Field-Tested)
AK-47 | Red Laminate (Field-Tested)
StatTrak™ Desert Eagle | Bronze Deco (Factory New)
M4A1-S | Mecha Industries (Battle-Scarred)
AWP | Asiimov (Field-Tested)
M4A1-S | Nitro (Factory New)
Dual Berettas | Ventilators (Well-Worn)
AK-47 | Safari Mesh (Field-Tested)
AK-47 | Point Disarray (Minimal Wear)
MP7 | Nemesis (Minimal Wear)
P2000 | Pulse (Factory New)
AWP | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Field-Tested)
P250 | Valence (Minimal Wear)
AK-47 | Elite Build (Battle-Scarred)
P2000 | Handgun (Minimal Wear)
PP-Bizon | Carbon Fiber (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
Souvenir USP-S | Royal Blue (Field-Tested)
Glock-18 | Candy Apple (Factory New)
Five-SeveN | Monkey Business (Field-Tested)
P250 | Franklin (Minimal Wear)
MAG-7 | Metallic DDPAT (Minimal Wear)
AWP | Safari Mesh (Battle-Scarred)
AK-47 | Wasteland Rebel (Field-Tested)
★ StatTrak™ M9 Bayonet | Bright Water (Field-Tested)
StatTrak™ PP-Bizon | Photic Zone (Well-Worn)
P90 | Death by Kitty (Field-Tested)
M4A1-S | VariCamo (Minimal Wear)
AWP | Sun in Leo (Field-Tested)
AK-47 | Elite Build (Well-Worn)
StatTrak™ Tec-9 | Isaac (Minimal Wear)
Souvenir Tec-9 | Red Quartz (Factory New)
M4A1-S | Cyrex (Minimal Wear)
StatTrak™ Glock-18 | Catacombs (Minimal Wear)
AK-47 | Elite Build (Well-Worn)
Desert Eagle | Meteorite (Factory New)
AK-47 | Elite Build (Well-Worn)
Souvenir G3SG1 | Polar Camo (Minimal Wear)
USP-S | Royal Blue (Field-Tested)
USP-S | Para Green (Minimal Wear)
AK-47 | Predator (Field-Tested)
Glock-18 | Candy Apple (Factory New)
StatTrak™ Desert Eagle | Bronze Deco (Factory New)
FAMAS | Styx (Factory New)
Glock-18 | Wraiths (Minimal Wear)
Souvenir Nova | Polar Mesh (Field-Tested)

StatTrak™ FAMAS | Afterimage (Minimal Wear)
StatTrak™ Tec-9 | Re-Entry (Factory New)
Souvenir Dual Berettas | Colony (Field-Tested)
Desert Eagle | Naga (Well-Worn)
Souvenir MAG-7 | Metallic DDPAT (Minimal Wear)
Souvenir Dual Berettas | Colony (Field-Tested)

UMP-45 | Indigo (Factory New)
AWP | Pit Viper (Minimal Wear)
StatTrak™ Glock-18 | Water Elemental (Field-Tested)
Souvenir MAG-7 | Metallic DDPAT (Factory New)
AK-47 | Red Laminate (Minimal Wear)
Souvenir Dual Berettas | Colony (Field-Tested)
Glock-18 | Bunsen Burner (Field-Tested)
Glock-18 | Candy Apple (Factory New)
FAMAS | Valence (Minimal Wear)
Souvenir P90 | Storm (Field-Tested)
M4A1-S | Basilisk (Minimal Wear)
USP-S | Royal Blue (Field-Tested)
AWP | Pit Viper (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
Souvenir Nova | Polar Mesh (Field-Tested)
AK-47 | Emerald Pinstripe (Factory New)
AWP | Phobos (Minimal Wear)
Souvenir Nova | Polar Mesh (Field-Tested)
Souvenir SCAR-20 | Storm (Field-Tested)
Desert Eagle | Night (Minimal Wear)
Souvenir SCAR-20 | Storm (Factory New)
StatTrak™ P250 | Valence (Field-Tested)
Souvenir P90 | Storm (Field-Tested)
Cologne 2016 Cobblestone Souvenir Package
USP-S | Kill Confirmed (Well-Worn)
Dual Berettas | Cobalt Quartz (Factory New)
AK-47 | Safari Mesh (Minimal Wear)
Tec-9 | Avalanche (Field-Tested)
StatTrak™ M4A4 | 龍王 (Dragon King) (Minimal Wear)
Souvenir G3SG1 | Desert Storm (Field-Tested)
USP-S | Caiman (Field-Tested)
Souvenir G3SG1 | Polar Camo (Field-Tested)
USP-S | Torque (Field-Tested)
Glock-18 | Candy Apple (Factory New)
CZ75-Auto | Tigris (Field-Tested)
Souvenir Nova | Polar Mesh (Minimal Wear)
Desert Eagle | Night (Minimal Wear)
Desert Eagle | Kumicho Dragon (Field-Tested)
Galil AR | Chatterbox (Battle-Scarred)
SSG 08 | Big Iron (Minimal Wear)
AK-47 | Fuel Injector (Well-Worn)
StatTrak™ AK-47 | Elite Build (Field-Tested)

Dual Berettas | Urban Shock (Battle-Scarred)
StatTrak™ MAC-10 | Neon Rider (Minimal Wear)
StatTrak™ MAC-10 | Tatter (Minimal Wear)
MP7 | Impire (Field-Tested)
Galil AR | Eco (Field-Tested)
AWP | Sun in Leo (Minimal Wear)
Glock-18 | Bunsen Burner (Field-Tested)
Souvenir Dual Berettas | Colony (Field-Tested)
P2000 | Fire Elemental (Minimal Wear)
Dual Berettas | Cartel (Factory New)
AWP | Sun in Leo (Battle-Scarred)
StatTrak™ SG 553 | Pulse (Field-Tested)
StatTrak™ Five-SeveN | Violent Daimyo (Battle-Scarred)
USP-S | Royal Blue (Field-Tested)
AWP | Pit Viper (Field-Tested)
MAG-7 | Heat (Field-Tested)
Souvenir PP-Bizon | Urban Dashed (Field-Tested)
Souvenir G3SG1 | Polar Camo (Battle-Scarred)
Desert Eagle | Conspiracy (Field-Tested)
Souvenir Nova | Predator (Minimal Wear)
M4A1-S | Cyrex (Minimal Wear)
Souvenir UMP-45 | Urban DDPAT (Field-Tested)
AK-47 | Elite Build (Minimal Wear)
Souvenir Dual Berettas | Colony (Field-Tested)
UMP-45 | Indigo (Minimal Wear)
MAC-10 | Fade (Factory New)
AWP | Worm God (Factory New)
Glock-18 | Grinder (Minimal Wear)
P90 | Asiimov (Battle-Scarred)
StatTrak™ Tec-9 | Isaac (Minimal Wear)
AWP | Corticera (Minimal Wear)
M4A1-S | Atomic Alloy (Minimal Wear)
USP-S | Royal Blue (Field-Tested)
USP-S | Royal Blue (Minimal Wear)
MP9 | Deadly Poison (Minimal Wear)
AWP | Phobos (Minimal Wear)
AK-47 | Cartel (Field-Tested)

Glock-18 | Bunsen Burner (Field-Tested)
AWP | Phobos (Minimal Wear)
Desert Eagle | Conspiracy (Factory New)
P90 | Chopper (Minimal Wear)
M4A4 | Griffin (Field-Tested)
AWP | Safari Mesh (Battle-Scarred)
AK-47 | Cartel (Field-Tested)
FAMAS | Valence (Minimal Wear)
USP-S | Lead Conduit (Field-Tested)
M4A1-S | Nitro (Battle-Scarred)
M4A1-S | Nitro (Field-Tested)
P2000 | Amber Fade (Factory New)
SCAR-20 | Emerald (Factory New)
M4A1-S | Guardian (Field-Tested)
AK-47 | Elite Build (Well-Worn)
StatTrak™ XM1014 | Teclu Burner (Minimal Wear)
M4A1-S | Nitro (Field-Tested)
G3SG1 | Green Apple (Factory New)
Desert Eagle | Midnight Storm (Field-Tested)
StatTrak™ Tec-9 | Isaac (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
AWP | Worm God (Factory New)
Souvenir SCAR-20 | Storm (Battle-Scarred)
Tec-9 | Re-Entry (Minimal Wear)
AK-47 | Elite Build (Battle-Scarred)
USP-S | Royal Blue (Field-Tested)
StatTrak™ Desert Eagle | Heirloom (Minimal Wear)
StatTrak™ Glock-18 | Bunsen Burner (Battle-Scarred)
M4A4 | Desert-Strike (Field-Tested)
AWP | Phobos (Minimal Wear)
StatTrak™ G3SG1 | Murky (Field-Tested)
Sawed-Off | Highwayman (Factory New)
Sawed-Off | Highwayman (Factory New)
AWP | Safari Mesh (Field-Tested)
AK-47 | Redline (Field-Tested)
USP-S | Lead Conduit (Minimal Wear)

Desert Eagle | Conspiracy (Factory New)
Souvenir Nova | Polar Mesh (Field-Tested)
Glock-18 | Bunsen Burner (Factory New)
Five-SeveN | Violent Daimyo (Field-Tested)
AWP | Redline (Field-Tested)
AK-47 | Redline (Field-Tested)

AK-47 | Emerald Pinstripe (Field-Tested)
P90 | Chopper (Field-Tested)
G3SG1 | Orange Crash (Minimal Wear)
Desert Eagle | Bronze Deco (Minimal Wear)
Desert Eagle | Crimson Web (Field-Tested)
Five-SeveN | Monkey Business (Battle-Scarred)

AWP | Sun in Leo (Field-Tested)
StatTrak™ M4A4 | The Battlestar (Field-Tested)
M4A1-S | Icarus Fell (Factory New)
P250 | Whiteout (Field-Tested)
MP7 | Asterion (Minimal Wear)
AK-47 | Emerald Pinstripe (Well-Worn)
USP-S | Royal Blue (Minimal Wear)
USP-S | Royal Blue (Minimal Wear)
AWP | Corticera (Minimal Wear)
USP-S | Torque (Field-Tested)
AK-47 | Safari Mesh (Minimal Wear)
Five-SeveN | Violent Daimyo (Field-Tested)
M4A1-S | VariCamo (Minimal Wear)
StatTrak™ M4A1-S | Cyrex (Minimal Wear)
M4A1-S | Cyrex (Field-Tested)
USP-S | Torque (Minimal Wear)
Cologne 2016 Mirage Souvenir Package
Five-SeveN | Violent Daimyo (Field-Tested)
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)
AWP | Safari Mesh (Field-Tested)
Glock-18 | Brass (Battle-Scarred)
M4A1-S | Nitro (Field-Tested)
M4A1-S | Nitro (Field-Tested)
StatTrak™ P90 | Virus (Field-Tested)
AK-47 | Safari Mesh (Field-Tested)
Five-SeveN | Violent Daimyo (Field-Tested)
P250 | Mehndi (Minimal Wear)
Cologne 2016 Cache Souvenir Package
StatTrak™ Dual Berettas | Ventilators (Minimal Wear)
StatTrak™ P250 | Valence (Field-Tested)
M4A1-S | Bright Water (Minimal Wear)

Cologne 2016 Overpass Souvenir Package
Desert Eagle | Night (Field-Tested)
XM1014 | Quicksilver (Well-Worn)
AWP | Pit Viper (Field-Tested)
M249 | Nebula Crusader (Well-Worn)
AK-47 | Safari Mesh (Minimal Wear)
Glock-18 | Royal Legion (Field-Tested)
Five-SeveN | Violent Daimyo (Battle-Scarred)
Souvenir Negev | Nuclear Waste (Minimal Wear)
AK-47 | Elite Build (Battle-Scarred)
Souvenir PP-Bizon | Chemical Green (Field-Tested)
Souvenir M249 | Contrast Spray (Battle-Scarred)
Galil AR | Rocket Pop (Well-Worn)
Souvenir M249 | Contrast Spray (Field-Tested)
AWP | Phobos (Minimal Wear)
Souvenir M249 | Contrast Spray (Field-Tested)
Dual Berettas | Dualing Dragons (Well-Worn)
Souvenir SG 553 | Fallout Warning (Minimal Wear)
Souvenir Sawed-Off | Sage Spray (Field-Tested)
Glock-18 | Water Elemental (Field-Tested)
P2000 | Oceanic (Minimal Wear)
FAMAS | Valence (Battle-Scarred)
AK-47 | Elite Build (Field-Tested)
M4A4 | Desolate Space (Field-Tested)
Souvenir P250 | Contamination (Field-Tested)
StatTrak™ Five-SeveN | Violent Daimyo (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
Souvenir FAMAS | Styx (Battle-Scarred)
Souvenir MP7 | Gunsmoke (Minimal Wear)
Cologne 2016 Mirage Souvenir Package
Tec-9 | Sandstorm (Field-Tested)
Desert Eagle | Midnight Storm (Well-Worn)
StatTrak™ Tec-9 | Ice Cap (Factory New)
USP-S | Blood Tiger (Field-Tested)
AK-47 | Redline (Battle-Scarred)
Tec-9 | Ice Cap (Factory New)
AWP | Phobos (Minimal Wear)
Souvenir PP-Bizon | Chemical Green (Minimal Wear)
Souvenir SSG 08 | Tropical Storm (Battle-Scarred)
Desert Eagle | Bronze Deco (Factory New)
P250 | Crimson Kimono (Minimal Wear)
P250 | Franklin (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
Souvenir SCAR-20 | Storm (Field-Tested)
SSG 08 | Acid Fade (Factory New)
Cologne 2016 Cobblestone Souvenir Package
AK-47 | Frontside Misty (Field-Tested)
MAG-7 | Bulldozer (Minimal Wear)
AWP | Phobos (Minimal Wear)
P250 | Crimson Kimono (Minimal Wear)
StatTrak™ PP-Bizon | Osiris (Factory New)
Galil AR | Eco (Field-Tested)
MAG-7 | Counter Terrace (Factory New)
AK-47 | Safari Mesh (Field-Tested)
Glock-18 | Water Elemental (Field-Tested)
P2000 | Amber Fade (Minimal Wear)
P90 | Elite Build (Well-Worn)
AWP | Safari Mesh (Field-Tested)
Souvenir G3SG1 | Safari Mesh (Well-Worn)
Glock-18 | Water Elemental (Minimal Wear)
Souvenir P90 | Scorched (Field-Tested)
MP7 | Urban Hazard (Field-Tested)
Glock-18 | Wraiths (Factory New)
M4A1-S | Boreal Forest (Minimal Wear)
Souvenir Sawed-Off | Sage Spray (Field-Tested)
Cologne 2016 Cache Souvenir Package
USP-S | Guardian (Minimal Wear)
Cologne 2016 Cache Souvenir Package
Desert Eagle | Midnight Storm (Field-Tested)
USP-S | Royal Blue (Field-Tested)
CZ75-Auto | Red Astor (Well-Worn)
AWP | Pit Viper (Field-Tested)
M4A1-S | Boreal Forest (Well-Worn)
AWP | Sun in Leo (Factory New)
Souvenir UMP-45 | Indigo (Field-Tested)
AK-47 | Elite Build (Well-Worn)
Desert Eagle | Urban Rubble (Factory New)
Desert Eagle | Crimson Web (Battle-Scarred)
Glock-18 | Catacombs (Minimal Wear)
Cologne 2016 Mirage Souvenir Package
AUG | Chameleon (Minimal Wear)
Cologne 2016 Mirage Souvenir Package
AUG | Chameleon (Field-Tested)
SSG 08 | Detour (Minimal Wear)
Souvenir MAG-7 | Storm (Well-Worn)
USP-S | Overgrowth (Field-Tested)
StatTrak™ Galil AR | Eco (Minimal Wear)
StatTrak™ Galil AR | Eco (Well-Worn)
StatTrak™ FAMAS | Sergeant (Well-Worn)
Tec-9 | Urban DDPAT (Factory New)
Five-SeveN | Kami (Factory New)
Dual Berettas | Hemoglobin (Field-Tested)
MAG-7 | Praetorian (Factory New)
XM1014 | Red Python (Battle-Scarred)
★ Karambit | Case Hardened (Battle-Scarred)
Souvenir AUG | Colony (Field-Tested)
Souvenir G3SG1 | Safari Mesh (Well-Worn)
M4A1-S | Cyrex (Field-Tested)
AWP | Corticera (Field-Tested)
AWP | Corticera (Field-Tested)
USP-S | Night Ops (Field-Tested)
★ StatTrak™ Bayonet | Black Laminate (Minimal Wear)
M4A1-S | Nitro (Well-Worn)
Souvenir AUG | Colony (Minimal Wear)
Five-SeveN | Hot Shot (Minimal Wear)
Souvenir UMP-45 | Indigo (Field-Tested)
AK-47 | Fire Serpent (Battle-Scarred)
Glock-18 | Night (Field-Tested)
MP9 | Deadly Poison (Minimal Wear)
StatTrak™ P250 | Muertos (Well-Worn)
AK-47 | Emerald Pinstripe (Field-Tested)
AWP | Phobos (Field-Tested)
Tec-9 | Isaac (Factory New)
AK-47 | Vulcan (Minimal Wear)
P90 | Elite Build (Well-Worn)
Desert Eagle | Midnight Storm (Factory New)
Glock-18 | Candy Apple (Factory New)
AWP | Sun in Leo (Factory New)
StatTrak™ USP-S | Guardian (Field-Tested)
AWP | Phobos (Field-Tested)
MAC-10 | Fade (Factory New)
M4A4 | Desolate Space (Factory New)
Five-SeveN | Violent Daimyo (Field-Tested)

M4A1-S | Basilisk (Minimal Wear)
M4A1-S | Nitro (Field-Tested)
Glock-18 | Wraiths (Field-Tested)
Souvenir Dual Berettas | Briar (Minimal Wear)
Souvenir P90 | Storm (Field-Tested)
AK-47 | Cartel (Field-Tested)
FAMAS | Djinn (Field-Tested)
AWP | Redline (Field-Tested)
AK-47 | Safari Mesh (Minimal Wear)
Glock-18 | Royal Legion (Field-Tested)
StatTrak™ Five-SeveN | Kami (Factory New)
MP7 | Armor Core (Factory New)
USP-S | Para Green (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
AK-47 | Elite Build (Minimal Wear)
USP-S | Guardian (Minimal Wear)
MAG-7 | Heat (Field-Tested)
AWP | Worm God (Minimal Wear)
Tec-9 | Avalanche (Field-Tested)
USP-S | Royal Blue (Field-Tested)
M4A1-S | Mecha Industries (Field-Tested)
M4A1-S | Mecha Industries (Field-Tested)
USP-S | Royal Blue (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
AWP | Phobos (Field-Tested)
StatTrak™ P2000 | Pulse (Field-Tested)
Desert Eagle | Night (Field-Tested)
AK-47 | Safari Mesh (Field-Tested)
P2000 | Imperial (Minimal Wear)

Glock-18 | Grinder (Minimal Wear)
StatTrak™ MP7 | Armor Core (Factory New)
Cologne 2016 Overpass Souvenir Package
Tec-9 | Toxic (Factory New)
AWP | Sun in Leo (Field-Tested)
AK-47 | Black Laminate (Battle-Scarred)
Tec-9 | Bamboo Forest (Factory New)
StatTrak™ M4A4 | Desolate Space (Well-Worn)
AK-47 | Elite Build (Battle-Scarred)
AK-47 | Elite Build (Minimal Wear)
AWP | Elite Build (Minimal Wear)
StatTrak™ P250 | Valence (Field-Tested)
Glock-18 | Night (Minimal Wear)
Tec-9 | Ice Cap (Minimal Wear)
CZ75-Auto | Red Astor (Minimal Wear)
USP-S | Royal Blue (Field-Tested)
Cologne 2016 Train Souvenir Package
Souvenir PP-Bizon | Chemical Green (Well-Worn)
Glock-18 | Water Elemental (Minimal Wear)
P2000 | Oceanic (Field-Tested)
AK-47 | Elite Build (Minimal Wear)
AWP | Sun in Leo (Field-Tested)
